order_id,payment_id,merchant_id,customer_email,amount,currency,status,method,created_at,description
ord_f2217062e9a397,pay_f457c545a9ded8,merch_1004,customer49@example.com,4999.00,INR,captured,upi,2026-08-10,RZP Commerce order 49
ord_7ef605fc8dba54,pay_c0c7c76d30bd3d,merch_1000,customer50@example.com,199.00,INR,captured,netbanking,2026-08-11,Razorpay Marketplace order 50
ord_a8f15eda80c50a,pay_2838023a778dfa,merch_1001,customer51@example.com,299.00,INR,captured,wallet,2026-08-12,Razorpay Commerce order 51
ord_37a749d808e464,pay_9a1158154dfa42,merch_1002,customer52@example.com,499.00,INR,captured,card,2026-08-13,RZP Commerce order 52
ord_b3e3e393c77e35,pay_d82c8d1619ad81,merch_1003,customer53@example.com,599.00,INR,captured,upi,2026-08-14,Razorpay Marketplace order 53
ord_1d7f7abc18fcb4,pay_a684eceee76fc5,merch_1004,customer54@example.com,799.00,INR,captured,netbanking,2026-08-15,Razorpay Commerce order 54
ord_2a79ea27c279e4,pay_b53b3a3d6ab90c,merch_1000,customer55@example.com,999.00,INR,failed,wallet,2026-08-16,RZP Commerce order 55
ord_1c9ac0159c94d8,pay_9f61408e3afb63,merch_1001,customer56@example.com,1499.00,INR,captured,card,2026-08-17,Razorpay Marketplace order 56
ord_6c4b761a28b734,pay_72b32a1f754ba1,merch_1002,customer57@example.com,1999.00,INR,captured,upi,2026-08-18,Razorpay Commerce order 57
ord_06409663226af2,pay_66f041e16a6092,merch_1003,customer58@example.com,2499.00,INR,captured,netbanking,2026-08-19,RZP Commerce order 58
ord_140f6969d5213f,pay_093f65e080a295,merch_1004,customer59@example.com,4999.00,INR,captured,wallet,2026-08-20,Razorpay Marketplace order 59
